Word,Syllables,Syllable Occurrence Counts,Bigrams,Bigram Occurrence Counts,Zipf
ontslag,"['Ont', ""'slAx""]","[30288.0, 6163.0]","['on', 'nt', 'ts', 'sl', 'la', 'ag']","[2451854.0, 1477178.0, 235160.0, 1064500.0, 2444604.0, 400262.0]",4.476405144481282
overtreder,"['o', 'v@r', ""'tre"", 'd@r']","[33065.0, 457605.0, 4549.0, 256202.0]","['ov', 've', 'er', 'rt', 'tr', 're', 'ed', 'de', 'er']","[145547.0, 1767776.0, 6799370.0, 1154116.0, 1199332.0, 1607974.0, 636500.0, 2559661.0, 6799370.0]",2.6979250076889607
smeris,"[""'sme"", 'r@s']","[3330.0, 8252.0]","['sm', 'me', 'er', 'ri', 'is']","[89457.0, 1659354.0, 6799370.0, 1787712.0, 3439538.0]",4.356803259887172
ontvlucht,,[],"['on', 'nt', 'tv', 'vl', 'lu', 'uc', 'ch', 'ht']","[2451854.0, 1477178.0, 32599.0, 105784.0, 273011.0, 94927.0, 1999086.0, 373636.0]",3.1408321618775217
is,,[],['is'],[3439538.0],7.332113171077506
een,"[""'en""]",[797401.0],"['ee', 'en']","[944702.0, 8542439.0]",7.25087735208062
kronkelig,"[""'krON"", 'k@', 'l@x']","[60.0, 342563.0, 21003.0]","['kr', 'ro', 'on', 'nk', 'ke', 'el', 'li', 'ig']","[88851.0, 1417238.0, 2451854.0, 476574.0, 3143026.0, 4671207.0, 3369152.0, 960409.0]",2.0544723312027733
paadje,"[""'pat"", 'j@']","[432.0, 145311.0]","['pa', 'aa', 'ad', 'dj', 'je']","[319786.0, 2730922.0, 474501.0, 16143.0, 913788.0]",2.2585923138586983
ingerend,,[],"['in', 'ng', 'ge', 'er', 're', 'en', 'nd']","[2264626.0, 2927082.0, 3692145.0, 6799370.0, 1607974.0, 8542439.0, 2576478.0]",1.6565323225307358
eigenaars,,[],"['ei', 'ig', 'ge', 'en', 'na', 'aa', 'ar', 'rs']","[2483878.0, 960409.0, 3692145.0, 8542439.0, 523332.0, 2730922.0, 1754491.0, 834594.0]",3.525764042261712
van,"[""'vAn""]",[469600.0],"['va', 'an']","[313419.0, 4143386.0]",7.013737971559847
het,"[""'@t""]",[1068396.0],"['he', 'et']","[822995.0, 1684914.0]",7.384234986742789
landgoed,"[""'lAnt"", 'xut']","[12236.0, 1448.0]","['la', 'an', 'nd', 'dg', 'go', 'oe', 'ed']","[2444604.0, 4143386.0, 2576478.0, 70106.0, 147343.0, 837795.0, 636500.0]",3.893321421940029
honderden,,[],"['ho', 'on', 'nd', 'de', 'er', 'rd', 'de', 'en']","[1237078.0, 2451854.0, 2576478.0, 2559661.0, 6799370.0, 823655.0, 2559661.0, 8542439.0]",4.353761665290453
bezoekers,,[],"['be', 'ez', 'zo', 'oe', 'ek', 'ke', 'er', 'rs']","[2443609.0, 100963.0, 40239.0, 837795.0, 762098.0, 3143026.0, 6799370.0, 834594.0]",3.9959837638371765
rondleiden,"[""'rOnd"", 'lK', 'd@']","[1791.0, 4853.0, 515645.0]","['ro', 'on', 'nd', 'dl', 'le', 'ei', 'id', 'de', 'en']","[1417238.0, 2451854.0, 2576478.0, 30978.0, 4397946.0, 2483878.0, 469631.0, 2559661.0, 8542439.0]",3.4660920371660033
trots,"[""'trOts""]",[4875.0],"['tr', 'ro', 'ot', 'ts']","[1199332.0, 1417238.0, 1595020.0, 235160.0]",5.04347694690131
gisteren,"[""'xIs"", 't@', 'r@']","[10193.0, 603753.0, 255397.0]","['gi', 'is', 'st', 'te', 'er', 're', 'en']","[669114.0, 3439538.0, 2307098.0, 3522714.0, 6799370.0, 1607974.0, 8542439.0]",5.116226299008707
had,,[],"['ha', 'ad']","[1299761.0, 474501.0]",6.319780818520769
brede,,[],"['br', 're', 'ed', 'de']","[191839.0, 1607974.0, 636500.0, 2559661.0]",3.495381413267991
bodyguard,"[""'bO"", 'di', 'gArt']","[6097.0, 34759.0, 104.0]","['bo', 'od', 'dy', 'yg', 'gu', 'ua', 'ar', 'rd']","[1606593.0, 193327.0, 29948.0, 317.0, 24620.0, 213527.0, 1754491.0, 823655.0]",3.376691625936693
filmster,"[""'fIlm"", 'st@r']","[8412.0, 6682.0]","['fi', 'il', 'lm', 'ms', 'st', 'te', 'er']","[301366.0, 2591190.0, 28212.0, 35219.0, 2307098.0, 3522714.0, 6799370.0]",3.7852546068691626
beschermde,,[],"['be', 'es', 'sc', 'ch', 'he', 'er', 'rm', 'md', 'de']","[2443609.0, 1784615.0, 1079447.0, 1999086.0, 822995.0, 6799370.0, 1049306.0, 10432.0, 2559661.0]",3.802660358208974
vrije,,[],"['vr', 'ri', 'ij', 'je']","[62231.0, 1787712.0, 1639122.0, 913788.0]",4.590778203553807
dag,"[""'dAx""]",[43430.0],"['da', 'ag']","[1096946.0, 400262.0]",5.92496987479219
morgen,"[""'mOr"", 'G@']","[25526.0, 450488.0]","['mo', 'or', 'rg', 'ge', 'en']","[1055897.0, 2597583.0, 709881.0, 3692145.0, 8542439.0]",5.62326054351812
krijgt,,[],"['kr', 'ri', 'ij', 'jg', 'gt']","[88851.0, 1787712.0, 1639122.0, 21485.0, 21874.0]",5.507637723728631
ober,"[""'o"", 'b@r']","[193944.0, 4538.0]","['ob', 'be', 'er']","[95880.0, 2443609.0, 6799370.0]",3.997966847108876
beroemde,,[],"['be', 'er', 'ro', 'oe', 'em', 'md', 'de']","[2443609.0, 6799370.0, 1417238.0, 837795.0, 924741.0, 10432.0, 2559661.0]",4.26505835610793
president,"['pre', 'zi', ""'dEnt""]","[7225.0, 22202.0, 7240.0]","['pr', 're', 'es', 'si', 'id', 'de', 'en', 'nt']","[242781.0, 1607974.0, 1784615.0, 1091620.0, 469631.0, 2559661.0, 8542439.0, 1477178.0]",5.105933575526956
beledigde,,[],"['be', 'el', 'le', 'ed', 'di', 'ig', 'gd', 'de']","[2443609.0, 4671207.0, 4397946.0, 636500.0, 1050254.0, 960409.0, 109191.0, 2559661.0]",3.3286301804664533
arts,"[""'Arts""]",[1436.0],"['ar', 'rt', 'ts']","[1754491.0, 1154116.0, 235160.0]",4.512354227936766
vieze,,[],"['vi', 'ie', 'ez', 'ze']","[226005.0, 2076673.0, 100963.0, 1671440.0]",4.340029640210547
bandage,"['bAn', ""'da"", 'Z@']","[239.0, 23990.0, 9943.0]","['ba', 'an', 'nd', 'da', 'ag', 'ge']","[584273.0, 4143386.0, 2576478.0, 1096946.0, 400262.0, 3692145.0]",1.6565323225307358
verschoonde,,[],"['ve', 'er', 'rs', 'sc', 'ch', 'ho', 'oo', 'on', 'nd', 'de']","[1767776.0, 6799370.0, 834594.0, 1079447.0, 1999086.0, 1237078.0, 3901750.0, 2451854.0, 2576478.0, 2559661.0]",2.3555023268667545
trok,,[],"['tr', 'ro', 'ok']","[1199332.0, 1417238.0, 155024.0]",4.421828252228792
eerst,,[],"['ee', 'er', 'rs', 'st']","[944702.0, 6799370.0, 834594.0, 2307098.0]",5.5515955706042694
plastic,"[""'plEs"", 'tIk']","[659.0, 678.0]","['pl', 'la', 'as', 'st', 'ti', 'ic']","[97171.0, 2444604.0, 504791.0, 2307098.0, 1353437.0, 911860.0]",4.174387741460764
handschoenen,,[],"['ha', 'an', 'nd', 'ds', 'sc', 'ch', 'ho', 'oe', 'en', 'ne', 'en']","[1299761.0, 4143386.0, 2576478.0, 357110.0, 1079447.0, 1999086.0, 1237078.0, 837795.0, 8542439.0, 1475977.0, 8542439.0]",4.077312942079301
aan,"[""'an""]",[203682.0],"['aa', 'an']","[2730922.0, 4143386.0]",6.580444371128541
sportarts,"[""'spOrt"", 'Arts']","[1322.0, 1141.0]","['sp', 'po', 'or', 'rt', 'ta', 'ar', 'rt', 'ts']","[1518373.0, 490468.0, 2597583.0, 1154116.0, 892070.0, 1754491.0, 1154116.0, 235160.0]",
hockeyer,"[""'hO"", 'ki', 'j@r']","[6145.0, 3669.0, 1987.0]","['ho', 'oc', 'ck', 'ke', 'ey', 'ye', 'er']","[1237078.0, 270017.0, 832103.0, 3143026.0, 458590.0, 19288.0, 6799370.0]",2.2006003668810115
met,"[""'mEt""]",[298057.0],"['me', 'et']","[1659354.0, 1684914.0]",6.829561167099229
gescheurde,,[],"['ge', 'es', 'sc', 'ch', 'he', 'eu', 'ur', 'rd', 'de']","[3692145.0, 1784615.0, 1079447.0, 1999086.0, 822995.0, 135956.0, 346154.0, 823655.0, 2559661.0]",3.1616823008506416
pezen,"[""'pe"", 'z@']","[4572.0, 133611.0]","['pe', 'ez', 'ze', 'en']","[1062538.0, 100963.0, 1671440.0, 8542439.0]",2.786866091025742
adviseert,,[],"['ad', 'dv', 'vi', 'is', 'se', 'ee', 'er', 'rt']","[474501.0, 10646.0, 226005.0, 3439538.0, 763112.0, 944702.0, 6799370.0, 1154116.0]",3.0087148406420985
heeft,"[""'heft""]",[159926.0],"['he', 'ee', 'ef', 'ft']","[822995.0, 944702.0, 169410.0, 179822.0]",6.559424117449305
er,"[""'Er""]",[369340.0],['er'],[6799370.0],6.908525619042463
veel,"[""'vel""]",[65980.0],"['ve', 'ee', 'el']","[1767776.0, 944702.0, 4671207.0]",6.0591633429385485
verstand,"['v@r', ""'stAnt""]","[457605.0, 4212.0]","['ve', 'er', 'rs', 'st', 'ta', 'an', 'nd']","[1767776.0, 6799370.0, 834594.0, 2307098.0, 892070.0, 4143386.0, 2576478.0]",4.578478776760146
oma,"[""'o"", 'ma']","[193944.0, 53566.0]","['om', 'ma']","[2473734.0, 957657.0]",4.858884390340487
gebroken,"['x@', ""'bro"", 'k@']","[587329.0, 3123.0, 342563.0]","['ge', 'eb', 'br', 'ro', 'ok', 'ke', 'en']","[3692145.0, 154238.0, 191839.0, 1417238.0, 155024.0, 3143026.0, 8542439.0]",4.816249868710951
bekken,,[],"['be', 'ek', 'kk', 'ke', 'en']","[2443609.0, 762098.0, 65091.0, 3143026.0, 8542439.0]",3.3511375214643047
verpleegster,"['v@r', ""'plex"", 'st@r']","[457605.0, 803.0, 6682.0]","['ve', 'er', 'rp', 'pl', 'le', 'ee', 'eg', 'gs', 'st', 'te', 'er']","[1767776.0, 6799370.0, 40052.0, 97171.0, 4397946.0, 944702.0, 1125580.0, 1154969.0, 2307098.0, 3522714.0, 6799370.0]",4.190558428586871
raadpleegde,,[],"['ra', 'aa', 'ad', 'dp', 'pl', 'le', 'ee', 'eg', 'gd', 'de']","[2220035.0, 2730922.0, 474501.0, 1907.0, 97171.0, 4397946.0, 944702.0, 1125580.0, 109191.0, 2559661.0]",1.6565323225307358
moest,,[],"['mo', 'oe', 'es', 'st']","[1055897.0, 837795.0, 1784615.0, 2307098.0]",5.66368242789742
huilen,"[""'hL"", 'l@']","[5729.0, 393640.0]","['hu', 'ui', 'il', 'le', 'en']","[187605.0, 687028.0, 2591190.0, 4397946.0, 8542439.0]",4.732990710242888
alcoholist,"['Al', 'ko', 'ho', ""'lIst""]","[16321.0, 32900.0, 6096.0, 1808.0]","['al', 'lc', 'co', 'oh', 'ho', 'ol', 'li', 'is', 'st']","[2558689.0, 12727.0, 488809.0, 21900.0, 1237078.0, 2233880.0, 3369152.0, 3439538.0, 2307098.0]",3.7284143298368613
bekende,"['b@', ""'kEn"", 'd@']","[395542.0, 2839.0, 515645.0]","['be', 'ek', 'ke', 'en', 'nd', 'de']","[2443609.0, 762098.0, 3143026.0, 8542439.0, 2576478.0, 2559661.0]",4.266126731755955
psycholoog,"['psi', 'xo', ""'lox""]","[2408.0, 2650.0, 2228.0]","['ps', 'sy', 'yc', 'ch', 'ho', 'ol', 'lo', 'oo', 'og']","[133657.0, 156747.0, 108972.0, 1999086.0, 1237078.0, 2233880.0, 1188135.0, 3901750.0, 285914.0]",3.7153378092066425
weer,"[""'wer""]",[56120.0],"['we', 'ee', 'er']","[1965886.0, 944702.0, 6799370.0]",6.052024711943977
terugval,"['t@', ""'r}x"", 'fAl']","[603753.0, 67938.0, 719.0]","['te', 'er', 'ru', 'ug', 'gv', 'va', 'al']","[3522714.0, 6799370.0, 1082518.0, 117069.0, 10398.0, 313419.0, 2558689.0]",3.071505670501554
scholier,"['sxo', ""'lir""]","[324.0, 849.0]","['sc', 'ch', 'ho', 'ol', 'li', 'ie', 'er']","[1079447.0, 1999086.0, 1237078.0, 2233880.0, 3369152.0, 2076673.0, 6799370.0]",3.103690353872955
meester,"[""'mes"", 't@r']","[4665.0, 199618.0]","['me', 'ee', 'es', 'st', 'te', 'er']","[1659354.0, 944702.0, 1784615.0, 2307098.0, 3522714.0, 6799370.0]",4.808667719392612
treitert,,[],"['tr', 're', 'ei', 'it', 'te', 'er', 'rt']","[1199332.0, 1607974.0, 2483878.0, 333345.0, 3522714.0, 6799370.0, 1154116.0]",2.5859512482450286
alweer,"['Al', ""'wer""]","[16321.0, 56120.0]","['al', 'lw', 'we', 'ee', 'er']","[2558689.0, 158019.0, 1965886.0, 944702.0, 6799370.0]",4.77907584659949
punaises,,[],"['pu', 'un', 'na', 'ai', 'is', 'se', 'es']","[45003.0, 125750.0, 523332.0, 444826.0, 3439538.0, 763112.0, 1784615.0]",1.957562318194717
