,Count
'kwIg,1.0
'd)n,8.0
'dKst,348.0
'bOn,2296.0
'klart,440.0
'fKn,8793.0
'mEnst,0.0
zwE,24.0
sprINk,11.0
byt,0.0
'tSEs,131.0
'drEg,4.0
sxAn,511.0
pAns,0.0
pl}n,4.0
lIb,0.0
por,1.0
varz,0.0
'rEns,3.0
vlis,91.0
hes,0.0
'rirz,11.0
'pa,9885.0
Sis,17.0
tSi,79.0
'spans,0.0
'pOs,458.0
st@r,6682.0
'lir,849.0
'sxrod,0.0
zer,6.0
'buj,99.0
'tSEk,33.0
'lLm,0.0
'bans,0.0
swK,8.0
'SInts,5.0
tr},0.0
zElf,3139.0
'pruf,1358.0
mum,0.0
'Grast,0.0
'mM,35.0
'l}Gd,155.0
'ril,114.0
nMwt,34.0
'krax,164.0
'pl),0.0
wat,10.0
trEnt,8.0
'k|ls,0.0
'sxav,0.0
'vEks,2.0
'skAj,20.0
S@rt,0.0
'dOk,11960.0
'w*l,2.0
'sket,0.0
stek,166.0
zwEm,25.0
stant,152.0
b|rs,186.0
prEnt,3.0
'stIg,8.0
tot,0.0
xru,365.0
xar,0.0
'pInt,65.0
'sMw,0.0
'vlur,1452.0
'tj)m,0.0
'net,2126.0
'ruzd,1.0
v@nt,3385.0
g}m,31.0
'strok,29.0
'kwIps,0.0
b}n,16.0
'Sok,13.0
'krLb,1.0
xir,35.0
'Gals,0.0
'spr|k,268.0
bI,2604.0
'kug,1.0
'rI,1974.0
'in,0.0
korn,0.0
tyr,349.0
'ref,12.0
'braf,880.0
r}n,3.0
Suw,1.0
'sxujt,3.0
'vlO,47.0
'wrI,56.0
frwA,0.0
'klIs,52.0
'dAg,2.0
xrAxt,10.0
strel,7.0
'SOrts,35.0
fi,16404.0
'zEdz,17.0
'GAl,14.0
sx}ld,2.0
'}m,4.0
xKt,0.0
ts@,68.0
'sOvd,61.0
'xal,25.0
st@rs,4.0
pM,420.0
'pOx,1.0
'sOp,28.0
'pKn,12561.0
za,1820.0
sko,51.0
Gef,59.0
sixts,0.0
'sx}ps,0.0
'kOb,1.0
'wrOk,180.0
dAm,13.0
'wom,175.0
'vAks,0.0
'spam,0.0
'sxOvd,0.0
'Gant,33.0
di,34759.0
t@rs,400.0
'slob,0.0
'Gar,440.0
krLd,0.0
'spI,1306.0
'tOm,187.0
wAjn,8.0
'tSOnz,1.0
glEt,0.0
'sErpt,0.0
r@t,76.0
'knKb,0.0
'krat,153.0
'zLn,23.0
dKks,0.0
frK,172.0
'slaG,67.0
sxAm,0.0
bOrG,0.0
'zI,38485.0
'k}m,10.0
'nOst,5.0
zAs,10.0
'En,612041.0
slL,2338.0
'dwErG,2.0
'kerz,33.0
'j|r,724.0
'snLt,83.0
hKts,695.0
'rKp,387.0
'stKx,0.0
hOt,0.0
'}rn,52.0
sper,0.0
'set,2.0
dLs,56.0
'h|x,1.0
's}l,342.0
numt,0.0
nEs,105.0
trOmp,0.0
voG,251.0
'hOn,2378.0
swa,82.0
mu,2744.0
'jam,0.0
SI,0.0
'Arts,1436.0
'bOts,19.0
'_Ez,0.0
dren,1.0
'smEG,1.0
'fast,0.0
'fler,0.0
'mot,2.0
'trAnS,0.0
'twA,2.0
kKk,367.0
'tot,5.0
'lInS,31.0
v@s,2895.0
rus,9.0
'riv,0.0
prIkt,2.0
talt,11.0
ON,18119.0
'lots,116.0
rel,34.0
'zar,48.0
'plAnd,0.0
GAn,8.0
kE,430.0
tAks,0.0
tiN,0.0
'zwans,0.0
ryw,0.0
vOrmt,1.0
sAns,0.0
'sEn,2155.0
kn|,7.0
'rak,3659.0
'waks,2.0
'wAd,0.0
Os,717.0
'bIl,202.0
'haxs,0.0
'vOrzd,0.0
flEks,2.0
'wKn,2805.0
vINz,18.0
hEmts,0.0
ews,43.0
'straf,0.0
'vlest,0.0
'hMpt,0.0
'bli,149.0
'kag,10.0
ek,0.0
'sel,55.0
'pw)n,113.0
'port,1114.0
dOrst,18.0
'Syt,233.0
lat,367.0
'GOr,0.0
'dLk,430.0
nIs,15439.0
xKl,1.0
pos,3.0
pAr,11668.0
n@rz,0.0
pIl,72.0
G|l,16.0
'vAn,469600.0
'wKt,328.0
'tKd,179.0
'sat,2.0
'ArG,146.0
'klAN,1.0
'kliv,0.0
'kler,270.0
'jols,13.0
'bAx,12.0
z}l,1047.0
'xim,0.0
kl|m,1.0
'bl<,0.0
'Eg,0.0
'jor,2476.0
'tOrn,3.0
'nKz,0.0
bran,0.0
'}x,0.0
'sEgz,15.0
'dIsk,181.0
'lON,700.0
'boN,0.0
'taj,395.0
jun,266.0
mIt,48.0
'xrA,6302.0
'kwIk,80.0
mIk,14.0
mEk,0.0
'rik,48.0
vuls,3.0
'rIn,399.0
'kr|kt,14.0
vitz,0.0
'wEt,4748.0
'nAt,1374.0
'nOrs,55.0
'zIt,48568.0
lAnts,180.0
'brLs,7.0
hAm,287.0
'nAGd,24.0
'sxElms,1.0
'krIst,1.0
'brugz,1.0
'zwAmp,0.0
'mExt,137.0
sof,1.0
jIr,0.0
'kwo,114.0
frOn,372.0
len,7.0
brAnt,368.0
tOl,23.0
l@n,10.0
bOs,37.0
'nM,66024.0
gri,12.0
kIzd,0.0
blKf,147.0
dry,0.0
'jAx,35.0
'SrE,25.0
'm}lt,29.0
liv,520.0
'kEv,22.0
prEn,33.0
'Sum,5.0
'vLl,2048.0
dert,23.0
'sle,911.0
'rEst,8196.0
'vrest,146.0
'kli,300.0
'xlo,1071.0
lOvdz,1.0
'woN,444.0
zuk,5370.0
'daG,79.0
'wOlvz,0.0
zoj,211.0
'rEd,38.0
