onset	duration	volume	type	value
1202	n/a	602	Pulse	50
1202.448	n/a	602.224	Nothing	8 Target
1204	n/a	603	Pulse	50
1206	n/a	604	Pulse	50
1207.852	n/a	604.926	Nothing	15 End of file
1207.864	n/a	604.932	Picture	blank
1208	n/a	605	Pulse	50
1209.882	n/a	605.941	Picture	FIX 3202
1210	n/a	606	Pulse	50
1211.096	n/a	606.548	Sound	14 Start File 610.wav
1211.126	n/a	606.563	Nothing	3 Audio onset
1212	n/a	607	Pulse	50
1213.944	n/a	607.972	Nothing	4 Target
1214	n/a	608	Pulse	50
1216	n/a	609	Pulse	50
1218	n/a	610	Pulse	50
1218.832	n/a	610.416	Nothing	15 End of file
1218.848	n/a	610.424	Picture	blank
1220	n/a	611	Pulse	50
1220.864	n/a	611.432	Picture	FIX 4000
1222	n/a	612	Pulse	50
1222.87	n/a	612.435	Sound	14 Start File 611.wav
1222.926	n/a	612.463	Nothing	3 Audio onset
1224	n/a	613	Pulse	50
1226	n/a	614	Pulse	50
1228	n/a	615	Pulse	50
1228.41	n/a	615.205	Nothing	4 Target
1229.174	n/a	615.587	Nothing	15 End of file
1229.498	n/a	615.749	Picture	ZINNEN
1230	n/a	616	Pulse	50
1231.214	n/a	616.607	Picture	blank
1232	n/a	617	Pulse	50
1233.23	n/a	617.615	Picture	FIX 3619
1234	n/a	618	Pulse	50
1234.854	n/a	618.427	Sound	14 Start File 079.wav
1234.92	n/a	618.46	Nothing	1 Audio onset
1236	n/a	619	Pulse	50
1237.06	n/a	619.53	Nothing	2 Target
1238	n/a	620	Pulse	50
1239.136	n/a	620.568	Nothing	15 End of file
1239.164	n/a	620.582	Picture	blank
1240	n/a	621	Pulse	50
1241.18	n/a	621.59	Picture	FIX 3629
1242	n/a	622	Pulse	50
1242.814	n/a	622.407	Sound	14 Start File 124.wav
1242.872	n/a	622.436	Nothing	1 Audio onset
1244	n/a	623	Pulse	50
1245.49	n/a	623.745	Nothing	2 Target
1246	n/a	624	Pulse	50
1246.642	n/a	624.321	Nothing	15 End of file
1246.662	n/a	624.331	Picture	blank
1248	n/a	625	Pulse	50
1248.68	n/a	625.34	Picture	FIX 3857
1250	n/a	626	Pulse	50
1250.542	n/a	626.271	Sound	14 Start File 261.wav
1250.596	n/a	626.298	Nothing	5 Audio onset
1252	n/a	627	Pulse	50
1252.4	n/a	627.2	Nothing	6 Target
1254	n/a	628	Pulse	50
1254.848	n/a	628.424	Nothing	15 End of file
1254.862	n/a	628.431	Picture	blank
1256	n/a	629	Pulse	50
1256.88	n/a	629.44	Picture	FIX 3726
1258	n/a	630	Pulse	50
1258.61	n/a	630.305	Sound	14 Start File 295.wav
1258.66	n/a	630.33	Nothing	5 Audio onset
1260	n/a	631	Pulse	50
1260.792	n/a	631.396	Nothing	6 Target
1262	n/a	632	Pulse	50
1262.344	n/a	632.172	Nothing	15 End of file
1262.362	n/a	632.181	Picture	blank
1264	n/a	633	Pulse	50
1264.378	n/a	633.189	Picture	FIX 3691
1266	n/a	634	Pulse	50
1266.074	n/a	634.037	Sound	14 Start File 010.wav
1266.14	n/a	634.07	Nothing	1 Audio onset
1267.386	n/a	634.693	Nothing	2 Target
1268	n/a	635	Pulse	50
1270	n/a	636	Pulse	50
1270.212	n/a	636.106	Nothing	15 End of file
