,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count
138,bekogelt,bəkˈoːɣəlt,bə - koː - ɣəlt,4912,181138,69013.33333333333
139,ver,vˈɛr,vɛr,37858,37858,37858.0
140,dames,dˈaːməs,daː - məs,9021,306624,157822.5
141,interviewt,ˌɪntərvˈiwt,ɪn - tər - viwt,34,655575,228082.33333333334
142,journalist,ʒˌurnaːlˈɪst,ʒur - naː - lɪst,1,105088,35593.333333333336
143,tuberculose,tˈybərkˌyloːsə,ty - bər - ky - loː - sə,1579,110176,31058.0
144,zuster,zˈɵstər,zɵ - stər,295,3556,1925.5
145,wil,ʋˈɪl,ʋɪl,250658,250658,250658.0
146,bondscoach,bˈɔndskoːtʃ,bɔnd - skoːtʃ,5,123,64.0
147,weten,ʋˈeːtən,ʋeː - tən,98411,542113,320262.0
148,lijdende,lˈɛɪdəndə,lɛ - ɪ - dən - də,7098,2661381,775896.0
149,wast,ʋˈɑst,ʋɑst,23,23,23.0
150,bejaarde,bəjˈaːrdə,bə - jaːr - də,5091,195887,73989.33333333333
151,enthousiaste,ˌɛntuʒˈɑstə,ɛn - tu - ʒɑ - stə,263,247036,64854.5
152,zorgzaam,zˈɔrɣzaːm,zɔrɣ - zaːm,114,1614,864.0
153,vrijwilliger,vrɛɪʋˈɪləɣər,vrɛ - ɪ - ʋɪ - lə - ɣər,9057,2661381,716564.2
154,goochelaar,ɣˈoːxəlˌaːr,ɣoːx - ə - laːr,224,2276250,758997.6666666666
155,publiek,pɵblˈik,pɵ - blik,26,1563,794.5
156,geduldige,ɣədˈɵldəɣə,ɣə - dɵl - də - ɣə,2550,201458,150338.25
157,instrueert,ˈɪnstryˌɪrt,ɪn - stry - ɪrt,377,655575,218936.66666666666
158,uit,ˈœyt,œyt,725,725,725.0
159,baby,bˈeːbi,beː - bi,16117,20059,18088.0
160,doopt,dˈoːpt,doːpt,159,159,159.0
161,onduidelijk,ɔndˈœydələk,ɔn - dœy - də - lək,22000,696160,275712.0
162,dominee,dˌoːminˈeː,doː - mi - neː,8000,80513,46675.0
163,begint,bəɣˈɪnt,bə - ɣɪnt,5793,20990,13391.5
164,spreken,sprˈeːkən,spreː - kən,16718,374893,195805.5
165,voorganger,vˈɔːrɣɑŋər,vɔːr - ɣɑŋ - ər,1493,368327,123844.66666666667
166,snoezige,snˈuzəɣə,snu - zə - ɣə,378,651101,284312.3333333333
167,kleintje,klˈɛɪntʲə,klɛ - ɪntʲ - ə,688,2276250,760224.3333333334
168,stevig,stˈeːvəx,steː - vəx,1893,19463,10678.0
169,houdt,hˈʌʊt,hʌʊt,23248,23248,23248.0
170,haar,hˈaːr,haːr,930,930,930.0
