,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count
122,altijd,ˈɑltɛɪt,ɑl - tɛ - ɪt,77,738066,255290.66666666666
123,tijdens,tˈɛɪdəns,tɛ - ɪ - dəns,6326,845556,293203.6666666667
124,basketbal,bˈɑskɛtbˌɑl,bɑ - skɛt - bɑl,799,11560,5818.0
125,hoog,hˈoːx,hoːx,3476,3476,3476.0
126,springt,sprˈɪŋt,sprɪŋt,585,585,585.0
127,bezeerd,bəzˈɪːrt,bə - zɪːrt,256,190538,95397.0
128,agressieve,ˌɑɣrɛsˈivə,ɑ - ɣrɛ - si - və,1807,632746,307091.5
129,enkel,ˈɛŋkəl,ɛŋ - kəl,843,172935,86889.0
130,arresteert,ˌɑɾrɛstˈɪrt,ɑɾ - rɛ - stɪrt,2242,69506,30708.333333333332
131,politieman,poːlˈitsimˌɑn,poː - lit - si - mɑn,32418,116031,56346.0
132,kraker,krˈaːkər,kraː - kər,2189,4157,3173.0
133,hardhandig,hɑrdhˈɑndəx,hɑrdh - ɑn - dəx,95,1517022,506535.0
134,werk,ʋˈɛrk,ʋɛrk,434,434,434.0
135,gaat,ɣˈaːt,ɣaːt,105137,105137,105137.0
136,staker,stˈaːkər,staː - kər,4157,13353,8755.0
137,angstige,ˈɑŋstəɣə,ɑŋ - stə - ɣə,21642,805074,367626.0
138,bekogelt,bəkˈoːɣəlt,bə - koː - ɣəlt,4912,190538,125529.33333333333
139,ver,vˈɛr,vɛr,5583,5583,5583.0
140,dames,dˈaːməs,daː - məs,9021,306624,157822.5
141,interviewt,ˌɪntərvˈiwt,ɪn - tər - viwt,34,183800,61580.0
142,journalist,ʒˌurnaːlˈɪst,ʒur - naː - lɪst,52,124785,42241.0
143,tuberculose,tˈybərkˌyloːsə,ty - bər - ky - loː - sə,1579,242465,84203.8
144,zuster,zˈɵstər,zɵ - stər,33263,56851,45057.0
145,wil,ʋˈɪl,ʋɪl,37992,37992,37992.0
146,bondscoach,bˈɔndskoːtʃ,bɔnd - skoːtʃ,5,123,64.0
147,weten,ʋˈeːtən,ʋeː - tən,12205,54740,33472.5
148,lijdende,lˈɛɪdəndə,lɛ - ɪ - dən - də,9281,845556,382786.75
149,wast,ʋˈɑst,ʋɑst,287,287,287.0
150,bejaarde,bəjˈaːrdə,bə - jaːr - də,3409,208410,134119.0
151,enthousiaste,ˌɛntuʒˈɑstə,ɛn - tu - ʒɑ - stə,263,137976,42727.0
152,zorgzaam,zˈɔrɣzaːm,zɔrɣ - zaːm,114,1853,983.5
153,vrijwilliger,vrɛɪʋˈɪləɣər,vrɛ - ɪ - ʋɪ - lə - ɣər,37,855914,350856.2
154,goochelaar,ɣˈoːxəlˌaːr,ɣoːx - ə - laːr,140,34084,11482.666666666666
155,publiek,pɵblˈik,pɵ - blik,26,1563,794.5
156,geduldige,ɣədˈɵldəɣə,ɣə - dɵl - də - ɣə,766,805074,454831.0
157,instrueert,ˈɪnstryˌɪrt,ɪn - stry - ɪrt,859,46357,16040.666666666666
158,uit,ˈœyt,œyt,14,14,14.0
159,baby,bˈeːbi,beː - bi,16117,52284,34200.5
160,doopt,dˈoːpt,doːpt,159,159,159.0
161,onduidelijk,ɔndˈœydələk,ɔn - dœy - də - lək,2224,320570,133796.25
162,dominee,dˌoːminˈeː,doː - mi - neː,30445,61826,47046.666666666664
163,begint,bəɣˈɪnt,bə - ɣɪnt,5682,190538,98110.0
164,spreken,sprˈeːkən,spreː - kən,8218,16718,12468.0
165,voorganger,vˈɔːrɣɑŋər,vɔːr - ɣɑŋ - ər,1493,64424,22543.666666666668
166,snoezige,snˈuzəɣə,snu - zə - ɣə,378,805074,485517.6666666667
167,kleintje,klˈɛɪntʲə,klɛ - ɪntʲ - ə,45,34084,11459.666666666666
168,stevig,stˈeːvəx,steː - vəx,1893,19463,10678.0
169,houdt,hˈʌʊt,hʌʊt,254,254,254.0
170,haar,hˈaːr,haːr,131477,131477,131477.0
171,vast,vˈɑst,vɑst,33801,33801,33801.0
172,boterham,bˈoːtərhˌɑm,boː - tərh - ɑm,1878,21553,13153.0
173,meisje,mˈɛɪsjə,mɛ - ɪs - jə,10,13965,6977.0
174,dat,dˈɑt,dɑt,59907,59907,59907.0
175,pindakaas,pˌɪndaːkˈaːs,pɪn - daː - kaːs,611,306624,102651.33333333333
176,zonder,zˈɔndər,zɔn - dər,36933,50286,43609.5
177,dochter,dˈɔxtər,dɔx - tər,1062,183800,92431.0
178,verwend,vərʋˈɛnt,vər - ʋɛnt,38,222213,111125.5
179,schone,sxˈoːnə,sxoː - nə,8830,39948,24389.0
180,robert,rˈoːbɛrt,roː - bɛrt,3182,32298,17740.0
181,huwelijk,hˈywələk,hyw - ə - lək,2224,34084,13870.666666666666
182,jan,jˈɑn,jɑn,501,501,501.0
183,slikte,slˈɪktə,slɪk - tə,29,1672687,836358.0
184,vroeg,vrˈux,vrux,115,115,115.0
185,opspoort,ˈɔpspɔːrt,ɔp - spɔːrt,1178,84952,43065.0
186,detective,dˈeːtɛktˌivə,deː - tɛk - ti - və,3599,560966,190847.0
187,criminelen,krˌiminˈeːlən,kri - mi - neː - lən,4927,285422,100261.0
188,vette,vˈɛtə,vɛ - tə,6630,1672687,839658.5
189,staat,stˈaːt,staːt,1229,1229,1229.0
190,speurhond,spˈøːrhɔnt,spøːrh - ɔnt,31,65527,32779.0
191,beloning,bəlˈoːnɪŋ,bə - loː - nɪŋ,7558,190538,113309.33333333333
192,drugs,drˈɵxs,drɵxs,22,22,22.0
193,illegale,ˌɪləɣˈaːlə,ɪ - lə - ɣaː - lə,28880,855914,646566.0
194,koekje,kˈukjə,kuk - jə,197,13965,7081.0
195,trage,trˈaːʒə,traː - ʒə,49,3132,1590.5
196,afschudt,ˈɑfsxˌɵt,ɑf - sxɵt,33,60153,30093.0
197,gedetineerde,ɣədˌeːtinˈɪrdə,ɣə - deː - ti - nɪr - də,709,805074,242603.2
198,hulp,hˈɵlp,hɵlp,11520,11520,11520.0
199,vandaag,vɑndˈaːx,vɑn - daːx,2559,17550,10054.5
200,bewaker,bəʋˈaːkər,bə - ʋaː - kər,4157,418112,204269.0
201,laatste,lˈaːtstə,laːt - stə,21642,143715,82678.5
202,handlanger,hˈɑndlɑŋər,hɑnd - lɑŋ - ər,1714,33635,12806.333333333334
203,examinator,ˌɛksaːminˈaːtɔr,ɛk - saː - mi - naː - tɔr,115,124785,38953.8
204,kandidaat,kˌɑndidˈaːt,kɑn - di - daːt,310,441857,147920.0
205,overtuigt,ˌoːvərtˈœyxt,oː - vər - tœyxt,1587,222213,82269.33333333333
206,spits,spˈɪts,spɪts,6,6,6.0
207,imponerend,ˌɪmpoːnˈɪːrənt,ɪm - poː - nɪː - rənt,34,44088,13894.25
208,opstelde,ˈɔpstɛldə,ɔp - stɛl - də,3621,208410,98994.33333333333
209,cruciale,krˈyʃaːlə,kry - ʃaː - lə,435,855914,287365.3333333333
210,trainer,trˈeːnər,treː - nər,3556,9212,6384.0
211,training,trˈeːnɪŋ,treː - nɪŋ,7558,9212,8385.0
212,wist,ʋˈɪst,ʋɪst,26680,26680,26680.0
213,gevaarlijke,ɣəvˈaːrləkə,ɣə - vaːr - lə - kə,8160,855914,585039.25
214,gemist,ɣəmˈɪst,ɣə - mɪst,6997,805074,406035.5
215,slachtoffers,slˈɑxtɔfərs,slɑx - tɔ - fərs,4164,8338,6487.0
216,niemand,nˈimɑnt,ni - mɑnt,86,76383,38234.5
217,tornado,tɔrnˈaːdoː,tɔr - naː - doː,6853,124785,54027.666666666664
218,ontstond,ɔntstˈɔnt,ɔnt - stɔnt,8538,65527,37032.5
219,eisen,ˈɛɪzən,ɛ - ɪ - zən,6555,845556,305609.3333333333
220,dieven,dˈivən,di - vən,12091,441857,226974.0
221,zou,zˈʌʊ,zʌʊ,15165,15165,15165.0
222,ontsnapte,ɔntsnˈɑptə,ɔnt - snɑp - tə,842,1672687,579685.3333333334
223,employee,ˌɛmploːiˈeː,ɛm - ploː - i - eː,325,72038,22835.75
224,beschrijft,bəsxrˈɛɪft,bəsx - rɛ - ɪft,16,69506,23666.333333333332
225,wrede,vrˈeːdə,vreː - də,3838,208410,106124.0
226,onderdaan,ˈɔndərdˌaːn,ɔn - dər - daːn,49952,320570,140269.33333333334
227,nauwkeurig,nʌʊkˈøːrəx,nʌʊ - køː - rəx,629,1701,1055.3333333333333
228,beveelt,bəvˈeːlt,bə - veːlt,552,190538,95545.0
229,boos,bˈoːs,boːs,3,3,3.0
230,derde,dˈɛrdə,dɛr - də,11707,208410,110058.5
231,getal,ɣətˈɑl,ɣə - tɑl,372,805074,402723.0
232,oplettende,ˈɔplˌɛtəndə,ɔ - plɛ - tən - də,1402,208410,56820.0
233,toehoorder,tˈuhˌɔːrdər,tuh - ɔːr - dər,49,50286,17616.666666666668
234,signaleert,sˌɪɲaːlˈɪrt,sɪɲ - aː - lɪrt,497,1385476,462763.3333333333
235,zes,zˈɛs,zɛs,21,21,21.0
236,mijn,mˈɛɪn,mɛ - ɪn,906,6956,3931.0
237,vriendin,vrˈindɪn,vrin - dɪn,417,11260,5838.5
238,gek,ɣˈɛk,ɣɛk,1161,1161,1161.0
239,jongens,jˈɔŋəns,jɔŋ - əns,842,21549,11195.5
240,mona,mˈoːnaː,moː - naː,115705,124785,120245.0
241,gemixte,ɣəmˈɪkstə,ɣə - mɪk - stə,37,805074,275584.3333333333
242,drankjes,drˈɑŋkjəs,drɑŋk - jəs,473,23607,12040.0
243,kopen,kˈoːpən,koː - pən,8687,181138,94912.5
244,aannemer,ˈaːnnˌeːmər,aːn - neː - mər,1756,61826,22745.333333333332
245,voor,vˈɔːr,vɔːr,64424,64424,64424.0
246,bewoner,bəʋˈoːnər,bə - ʋoː - nər,3556,190538,87257.66666666667
247,humeur,hymˈøːr,hy - møːr,629,11259,5944.0
248,vrouwtje,vrˈʌʊtʲə,vrʌʊtʲ - ə,992,34084,17538.0
249,verlaten,vərlˈaːtən,vər - laː - tən,12205,384233,206217.0
250,goed,ɣˈut,ɣut,156944,156944,156944.0
251,matste,mˈɑtstə,mɑt - stə,21,21642,10831.5
252,poezen,pˈuzən,pu - zən,8398,64717,36557.5
253,buren,bˈyrən,by - rən,4805,6659,5732.0
254,ruzie,ryzˈi,ry - zi,11727,91571,51649.0
255,opvangt,ˈɔpvɑŋt,ɔp - vɑŋt,898,84952,42925.0
256,populaire,pˌoːpylˈɛːrə,poː - py - lɛː - rə,1887,44088,17366.0
