,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count,Bigrams,Bigram Occurrence Counts,Zipf,FREQcount,Lg10WF,n_syllables,Min_Syll_Zipf,First_syllable_zipf
10,open,ˈoːpən,oː - pən,23008.0,179724.0,101366.0,"['op', 'pe', 'en']","[976321.0, 1062538.0, 8542439.0]",5.5247651909532,14765.0,4.169233451301097,2.0,6.477124420879489,6.695923768618035
11,manke,mˈɑŋkə,mɑŋ - kə,77.0,671009.0,335543.0,"['ma', 'an', 'nk', 'ke']","[957657.0, 4143386.0, 476574.0, 3143026.0]",3.1263543385088988,58.0,1.7634279935629371,2.0,6.285190340522141,6.285190340522141
12,dronkaard,drˈɔŋkaːrt,drɔŋ - kaːrt,13.0,7342.0,3677.5,"['dr', 'ro', 'on', 'nk', 'ka', 'aa', 'ar', 'rd']","[486140.0, 1417238.0, 2451854.0, 476574.0, 424843.0, 2730922.0, 1754491.0, 823655.0]",3.4454074383061526,122.0,2.0863598306747484,2.0,4.219926482966283,4.219926482966283
13,betaalde,bətˈaːldə,bə - taːl - də,16045.0,208410.0,81826.0,"['be', 'et', 'ta', 'aa', 'al', 'ld', 'de']","[2443609.0, 1684914.0, 892070.0, 2730922.0, 2558689.0, 840998.0, 2559661.0]",4.240863546898266,767.0,2.8847953639489807,3.0,5.271823768009301,6.969028573317883
14,lachte,lˈɑxtə,lɑx - tə,1425.0,995799.0,498612.0,"['la', 'ac', 'ch', 'ht', 'te']","[2444604.0, 404620.0, 1999086.0, 373636.0, 3522714.0]",4.090302156455602,542.0,2.733999286538387,2.0,4.82330852853254,4.82330852853254
15,viel,vˈil,vil,856.0,856.0,856.0,"['vi', 'ie', 'el']","[226005.0, 2076673.0, 4671207.0]",4.930227910460828,3755.0,3.5746099413401877,1.0,4.88798646938832,4.88798646938832
16,kruk,krˈɵk,krɵk,37.0,37.0,37.0,"['kr', 'ru', 'uk']","[88851.0, 1082518.0, 56724.0]",3.4085807703501745,112.0,2.049218022670181,1.0,3.614321210873671,3.614321210873671
17,om,ˈɔm,ɔm,624223.0,624223.0,624223.0,['om'],[2473734.0],6.641239617013409,193079.0,5.285735040842705,1.0,6.7884990264401655,6.7884990264401655
18,rector,rˈɛktɔr,rɛk - tɔr,8952.0,13351.0,11151.5,"['re', 'ec', 'ct', 'to', 'or']","[1607974.0, 411920.0, 116688.0, 2236591.0, 2597583.0]",3.763742292178604,255.0,2.406540180433955,2.0,4.771990969228944,4.771990969228944
19,stoere,stˈurə,stu - rə,1593.0,428756.0,215174.5,"['st', 'to', 'oe', 'er', 're']","[2307098.0, 2236591.0, 837795.0, 6799370.0, 1607974.0]",4.09665392571854,550.0,2.740362689494244,2.0,4.339871360619021,4.339871360619021
20,puber,pˈybər,py - bər,5849.0,7533.0,6691.0,"['pu', 'ub', 'be', 'er']","[45003.0, 648428.0, 2443609.0, 6799370.0]",3.236315919147546,75.0,1.8750612633917,2.0,5.35436016238654,5.35436016238654
21,strafte,strˈɑftə,strɑf - tə,19.0,995799.0,497909.0,"['st', 'tr', 'ra', 'af', 'ft', 'te']","[2307098.0, 1199332.0, 2220035.0, 472535.0, 179822.0, 3522714.0]",2.978751617264655,41.0,1.6127838567197357,2.0,4.86382029151874,4.86382029151874
22,was,ʋˈɑs,ʋɑs,476.0,476.0,476.0,"['wa', 'as']","[409327.0, 504791.0]",6.720806821020991,231901.0,5.36530262140015,1.0,6.608158410308119,6.608158410308119
23,erg,ˈɛrx,ɛrx,39634.0,39634.0,39634.0,"['er', 'rg']","[6799370.0, 709881.0]",5.870885988691201,32762.0,4.515370405983716,1.0,5.763729632839359,5.763729632839359
24,onredelijk,ɔnrˈeːdələk,ɔn - reː - də - lək,2224.0,320570.0,200540.25,"['on', 'nr', 're', 'ed', 'de', 'el', 'li', 'ij', 'jk']","[2451854.0, 14586.0, 1607974.0, 636500.0, 2559661.0, 4671207.0, 3369152.0, 1639122.0, 518095.0]",3.5623282028986045,160.0,2.204119982655925,4.0,6.479014619987463,6.500291525058517
25,inbreker,ˈɪnbrˌeːkər,ɪn - breː - kər,4157.0,214096.0,74593.66666666667,"['in', 'nb', 'br', 're', 'ek', 'ke', 'er']","[2264626.0, 79637.0, 191839.0, 1607974.0, 762098.0, 3143026.0, 6799370.0]",3.654355403276461,198.0,2.296665190261531,3.0,4.967925316119827,6.931581996104608
26,gekrenkte,ɣˈɛkrɛŋktə,ɣɛ - krɛŋk - tə,146.0,995799.0,340285.6666666667,"['ge', 'ek', 'kr', 're', 'en', 'nk', 'kt', 'te']","[3692145.0, 762098.0, 88851.0, 1607974.0, 8542439.0, 476574.0, 179298.0, 3522714.0]",2.3555023268667545,9.0,0.9542425094393248,3.0,2.5279613801989225,7.352677375311273
27,pastoor,pɑstˈoːr,pɑ - stoːr,92.0,34269.0,17180.5,"['pa', 'as', 'st', 'to', 'oo', 'or']","[319786.0, 504791.0, 2307098.0, 2236591.0, 3901750.0, 2597583.0]",4.071505670501554,519.0,2.7151673578484576,2.0,5.075428402625308,5.644934203059377
