Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count,Bigrams,Bigram Occurrence Counts,Zipf,FREQcount,Lg10WF
lachte,lˈɑxtə,lɑx - tə,1425.0,995799.0,498612.0,"['la', 'ac', 'ch', 'ht', 'te']","[2444604.0, 404620.0, 1999086.0, 373636.0, 3522714.0]",4.090302156455602,542.0,2.733999286538387
viel,vˈil,vil,856.0,856.0,856.0,"['vi', 'ie', 'el']","[226005.0, 2076673.0, 4671207.0]",4.930227910460828,3755.0,3.5746099413401873
kruk,krˈɵk,krɵk,37.0,37.0,37.0,"['kr', 'ru', 'uk']","[88851.0, 1082518.0, 56724.0]",3.4085807703501745,112.0,2.0492180226701815
om,ˈɔm,ɔm,624223.0,624223.0,624223.0,['om'],[2473734.0],6.641239617013409,193079.0,5.285735040842705
rector,rˈɛktɔr,rɛk - tɔr,8952.0,13351.0,11151.5,"['re', 'ec', 'ct', 'to', 'or']","[1607974.0, 411920.0, 116688.0, 2236591.0, 2597583.0]",3.763742292178604,255.0,2.406540180433955
stoere,stˈurə,stu - rə,1593.0,428756.0,215174.5,"['st', 'to', 'oe', 'er', 're']","[2307098.0, 2236591.0, 837795.0, 6799370.0, 1607974.0]",4.09665392571854,550.0,2.7403626894942437
puber,pˈybər,py - bər,5849.0,7533.0,6691.0,"['pu', 'ub', 'be', 'er']","[45003.0, 648428.0, 2443609.0, 6799370.0]",3.236315919147546,75.0,1.8750612633917
strafte,strˈɑftə,strɑf - tə,19.0,995799.0,497909.0,"['st', 'tr', 'ra', 'af', 'ft', 'te']","[2307098.0, 1199332.0, 2220035.0, 472535.0, 179822.0, 3522714.0]",2.978751617264655,41.0,1.6127838567197355
was,ʋˈɑs,ʋɑs,476.0,476.0,476.0,"['wa', 'as']","[409327.0, 504791.0]",6.720806821020991,231901.0,5.36530262140015
erg,ˈɛrx,ɛrx,39634.0,39634.0,39634.0,"['er', 'rg']","[6799370.0, 709881.0]",5.870885988691201,32762.0,4.515370405983716
onredelijk,ɔnrˈeːdələk,ɔn - reː - də - lək,2224.0,320570.0,200540.25,"['on', 'nr', 're', 'ed', 'de', 'el', 'li', 'ij', 'jk']","[2451854.0, 14586.0, 1607974.0, 636500.0, 2559661.0, 4671207.0, 3369152.0, 1639122.0, 518095.0]",3.5623282028986045,160.0,2.204119982655925
inbreker,ˈɪnbrˌeːkər,ɪn - breː - kər,4157.0,214096.0,74593.66666666667,"['in', 'nb', 'br', 're', 'ek', 'ke', 'er']","[2264626.0, 79637.0, 191839.0, 1607974.0, 762098.0, 3143026.0, 6799370.0]",3.6543554032764614,198.0,2.296665190261531
gekrenkte,ɣˈɛkrɛŋktə,ɣɛ - krɛŋk - tə,146.0,995799.0,340285.6666666667,"['ge', 'ek', 'kr', 're', 'en', 'nk', 'kt', 'te']","[3692145.0, 762098.0, 88851.0, 1607974.0, 8542439.0, 476574.0, 179298.0, 3522714.0]",2.3555023268667545,9.0,0.9542425094393249
pastoor,pɑstˈoːr,pɑ - stoːr,92.0,34269.0,17180.5,"['pa', 'as', 'st', 'to', 'oo', 'or']","[319786.0, 504791.0, 2307098.0, 2236591.0, 3901750.0, 2597583.0]",4.071505670501554,519.0,2.7151673578484576
smeekte,smˈeːktə,smeːk - tə,116.0,995799.0,497957.5,"['sm', 'me', 'ee', 'ek', 'kt', 'te']","[89457.0, 1659354.0, 944702.0, 762098.0, 179298.0, 3522714.0]",3.8647048491978575,322.0,2.507855871695831
ten,tˈɛn,tɛn,2102.0,2102.0,2102.0,"['te', 'en']","[3522714.0, 8542439.0]",4.563136694255716,1612.0,3.2073650374690716
