Word,Bigrams,First_Bigram_Count,Min_Bigram_Count,First_bigram_Zipf,Min_bigram_Zipf
behanger,"['be', 'eh', 'ha', 'an', 'ng', 'ge', 'er']",2443609.0,134898.0,6.388031893729547,5.130008730279083
haat,"['ha', 'aa', 'at']",1299761.0,996808.0,6.113863835730333,5.9986119504955635
adviseur,"['ad', 'dv', 'vi', 'is', 'se', 'eu', 'ur']",474501.0,10646.0,5.676238047294678,4.027227254067255
onze,"['on', 'nz', 'ze']",2451854.0,114667.0,6.389494782909221,5.0594422377583435
overtuigde,"['ov', 've', 'er', 'rt', 'tu', 'ui', 'ig', 'gd', 'de']",145547.0,109191.0,5.163006242100962,5.038190820757663
dirigent,"['di', 'ir', 'ri', 'ig', 'ge', 'en', 'nt']",1050254.0,960409.0,6.0212947577817895,5.9824566733781275
worden,"['wo', 'or', 'rd', 'de', 'en']",933919.0,823655.0,5.970309675966085,5.915745866435793
luisteren,"['lu', 'ui', 'is', 'st', 'te', 'er', 're', 'en']",273011.0,273011.0,5.436181736488547,5.436181736488547
moet,"['mo', 'oe', 'et']",1055897.0,837795.0,6.023621967272901,5.9231382825206955
nu,['nu'],53323.0,53323.0,4.726922719751019,4.726922719751019
blaren,"['bl', 'la', 'ar', 're', 'en']",152155.0,152155.0,5.1822890826587855,5.1822890826587855
zitten,"['zi', 'it', 'tt', 'te', 'en']",123482.0,123482.0,5.091607172054137,5.091607172054137
snelle,"['sn', 'ne', 'el', 'll', 'le']",91698.0,91698.0,4.962364599608407,4.962364599608407
drummer,"['dr', 'ru', 'um', 'mm', 'me', 'er']",486140.0,328356.0,5.686762250004548,5.516346279125116
band,"['ba', 'an', 'nd']",584273.0,584273.0,5.766616560779267,5.766616560779267
zocht,"['zo', 'oc', 'ch', 'ht']",40239.0,40239.0,4.604657972047871,4.604657972047871
plaatste,"['pl', 'la', 'aa', 'at', 'ts', 'st', 'te']",97171.0,97171.0,4.987541141497206,4.987541141497206
advertentie,"['ad', 'dv', 've', 'er', 'rt', 'te', 'en', 'nt', 'ti', 'ie']",474501.0,10646.0,5.676238047294678,4.027227254067255
stevige,"['st', 'te', 'ev', 'vi', 'ig', 'ge']",2307098.0,226005.0,6.363066230945546,5.354119968936349
korte,"['ko', 'or', 'rt', 'te']",466342.0,466342.0,5.66870546220922,5.66870546220922
penseel,"['pe', 'en', 'ns', 'se', 'ee', 'el']",1062538.0,612425.0,6.0263448795919485,5.78705362000277
voorkeur,"['vo', 'oo', 'or', 'rk', 'ke', 'eu', 'ur']",2123358.0,135956.0,6.327023427297477,5.133401572961477
