Word,n_syllables,Log10_Syllable_FREQcounts,Syllable_Zipfs,Min_Log10_FreqCount,Max_Log10_FreqCount,Mean_Log10_FreqCount,Min_Syll_Zipf,Bigrams,Bigram Occurrence Counts,Zipf
verslaafde,3.0,"(5.884176605805033, 3.1357685145678222, 6.234172950952972)","(7.111107990339974, 4.362699899102763, 7.461104335487914)",3.1357685145678222,6.234172950952972,5.084706023775276,4.362699899102763,"['ve', 'er', 'rs', 'sl', 'la', 'aa', 'af', 'fd', 'de']","[1767776.0, 6799370.0, 834594.0, 1064500.0, 2444604.0, 2730922.0, 472535.0, 81902.0, 2559661.0]",3.625015271084671
zijn,1.0,"(5.545260096284308,)","(6.7721914808192505,)",5.545260096284308,5.545260096284308,5.545260096284308,6.7721914808192505,"['zi', 'ij', 'jn']","[123482.0, 1639122.0, 79695.0]",6.897639056623649
ontslag,2.0,"(4.835836368521794, 4.069446083880313)","(6.062767753056736, 5.296377468415255)",4.069446083880313,4.835836368521794,4.452641226201053,5.296377468415255,"['on', 'nt', 'ts', 'sl', 'la', 'ag']","[2451854.0, 1477178.0, 235160.0, 1064500.0, 2444604.0, 400262.0]",4.476405144481282
overtreder,4.0,"(5.468992384083093, 5.884176605805033, 3.784902449886655, 5.479156216100646)","(6.695923768618035, 7.111107990339974, 5.011833834421596, 6.706087600635588)",3.784902449886655,5.884176605805033,5.154306913968856,5.011833834421596,"['ov', 've', 'er', 'rt', 'tr', 're', 'ed', 'de', 'er']","[145547.0, 1767776.0, 6799370.0, 1154116.0, 1199332.0, 1607974.0, 636500.0, 2559661.0, 6799370.0]",2.6979250076889607
smeris,2.0,"(3.731024379815688, 4.0752183791115355)","(4.957955764350629, 5.302149763646477)",3.731024379815688,4.075218379111536,3.903121379463612,4.957955764350629,"['sm', 'me', 'er', 'ri', 'is']","[89457.0, 1659354.0, 6799370.0, 1787712.0, 3439538.0]",4.356803259887172
ontvlucht,2.0,"(4.835836368521794, 3.6646419755561257)","(6.062767753056736, 4.8915733600910665)",3.6646419755561257,4.835836368521794,4.25023917203896,4.8915733600910665,"['on', 'nt', 'tv', 'vl', 'lu', 'uc', 'ch', 'ht']","[2451854.0, 1477178.0, 32599.0, 105784.0, 273011.0, 94927.0, 1999086.0, 373636.0]",3.1408321618775217
is,1.0,"(5.977131647243117,)","(7.204063031778058,)",5.977131647243117,5.977131647243117,5.977131647243117,7.204063031778058,['is'],[3439538.0],7.332113171077506
een,1.0,"(5.922251990241743,)","(7.149183374776684,)",5.922251990241743,5.922251990241743,5.922251990241743,7.149183374776684,"['ee', 'en']","[944702.0, 8542439.0]",7.25087735208062
kronkelig,3.0,"(2.361727836017593, 5.232299665207751, 4.520260760495895)","(3.5886592205525343, 6.459231049742693, 5.747192145030837)",2.361727836017593,5.232299665207751,4.038096087240413,3.5886592205525343,"['kr', 'ro', 'on', 'nk', 'ke', 'el', 'li', 'ig']","[88851.0, 1417238.0, 2451854.0, 476574.0, 3143026.0, 4671207.0, 3369152.0, 960409.0]",2.0544723312027733
paadje,2.0,"(1.1139433523068367, 6.249430979053402)","(2.340874736841778, 7.476362363588343)",1.1139433523068367,6.249430979053402,3.68168716568012,2.340874736841778,"['pa', 'aa', 'ad', 'dj', 'je']","[319786.0, 2730922.0, 474501.0, 16143.0, 913788.0]",2.2585923138586983
ingerend,3.0,"(5.704650611569667, 6.125745990776331, 3.7867514221455614)","(6.931581996104608, 7.352677375311273, 5.013682806680503)",3.786751422145562,6.125745990776331,5.205716008163853,5.013682806680503,"['in', 'ng', 'ge', 'er', 're', 'en', 'nd']","[2264626.0, 2927082.0, 3692145.0, 6799370.0, 1607974.0, 8542439.0, 2576478.0]",1.6565323225307358
