,Word,Number of Syllables,Minimum Syllable Frequency,Zipf Word Frequency,Maximum Syllable Frequency,Mean Syllable Frequency,Minimum Bigram Frequency,Maximum Bigram Frequency,Mean Bigram Frequency,Number of Letters
1511,zondagse,3.0,4.616989850789326,3.0456984068952684,4.956590989378359,4.787079880692654,4.604657972047871,6.411026607025587,6.0834958115300735,8
1512,krant,1.0,3.4367985102318035,4.761360726184391,3.4367985102318035,3.4367985102318035,4.948667207934095,6.617355499099678,6.297183292717157,5
1513,huiskamer,3.0,4.707544628612303,3.4489240120289897,4.809822231941043,4.745723436782502,5.167033621210793,6.832468738608579,6.251485095528046,9
1514,pientere,3.0,2.230448921378274,2.911804827634042,5.910038726309899,4.464190294380232,6.16943312496801,6.931581937103762,6.5630165555660485,8
1515,dame,2.0,4.8120639819955855,4.914090909974954,5.690652292689712,5.251358137342649,5.968631423864705,6.219939308295585,6.089507120096055,4
1516,boekje,2.0,4.037705313135537,4.039449457618266,6.249430979053402,5.14356814609447,5.28492002643826,6.205906140710445,5.93580895033818,6
1517,presenteert,3.0,3.3226327116922234,3.466092037166004,5.103146652964158,4.2769564928983685,5.38521648474895,6.931581937103762,6.428766508324219,11
1518,lopend,2.0,3.4539295920577286,3.665132494292653,5.050406826311583,4.252168209184656,5.98959307561742,6.931581937103762,6.4577582792355255,6
1519,buffet,2.0,2.4345689040341987,3.5016303625449927,2.8796692056320534,2.6571190548331263,4.467193589411815,6.226577996624518,5.748931120214348,6
1520,china,2.0,4.153692940008551,4.296516570572324,5.202455621138131,4.678074280573341,5.684862410060109,6.354996680882354,6.119838462803207,5
1521,naaien,2.0,3.1351326513767748,4.252579330076175,5.823575291952032,4.479353971664404,5.6481911400738545,6.931581937103762,6.456918329121153,6
1522,kleren,2.0,3.996861768490673,5.0169363772606745,5.482819293405307,4.7398405309479905,5.7401312673314155,6.931581937103762,6.641423340693127,6
1523,westerse,3.0,3.467312062980552,3.6672561879225087,5.393873404149383,4.605925485502765,5.882588852034565,6.832468738608579,6.4096287450063265,8
1524,consumenten,4.0,4.041905639223649,2.786866091025742,5.77026494944033,4.963560965221095,4.588271706842329,6.931581937103762,6.441920109441135,11
1525,verstandige,4.0,3.91939192677386,3.4124071782032277,6.125745990776331,5.208204223563405,5.9214757785557595,6.832468738608579,6.398349615722933,11
1526,keuze,2.0,3.943247125137862,4.818947358637182,5.786578947445944,4.864913036291903,4.66967941624774,6.497348111816385,6.0966636112917865,5
1527,vlug,1.0,3.388633969351789,4.6781350385589775,3.388633969351789,3.388633969351789,5.024424090392274,5.436181736488547,5.218243952190562,4
1528,vertrekken,3.0,4.356255379517801,4.999743912710484,5.884176605805033,5.282326647120324,4.8135276157671045,6.931581937103762,6.444413165073764,10
1529,drang,1.0,2.482873583608754,3.671472672323672,2.482873583608754,2.482873583608754,5.686762250004548,6.617355499099678,6.388129943308645,5
1530,spijbelen,3.0,3.1476763242410986,3.3555023268667545,5.7420971887829415,4.781477983068462,3.141763230275788,6.931581937103762,6.491017361478821,9
1531,overvalt,3.0,3.97639583661188,3.2006003668810115,5.884176605805033,5.109854942166669,4.771807878999105,6.832468738608579,6.285319330163828,8
1532,me,1.0,5.690652292689712,6.865330964921252,5.690652292689712,5.690652292689712,6.219939308295585,6.219939308295585,6.219939308295585,2
1533,drie,1.0,4.424603991276581,5.717928249175385,4.424603991276581,4.424603991276581,5.686762250004548,6.317368325560973,6.161420713400717,4
1534,vocalisten,,,,,,5.24862789492514,6.931581937103762,6.465882960531892,10
1535,karin,2.0,3.855458580386036,3.2585923138586983,4.809822231941043,4.33264040616354,5.628229489164837,6.354996680882354,6.192544873896552,5
1536,indruk,2.0,4.282508823590371,4.703807189914915,5.704650611569667,4.993579717580019,4.753774504556974,6.411026607025587,6.111698673127087,6
1537,dijken,2.0,3.1586639808139894,1.6565323225307358,5.606547956038138,4.382605968426064,5.714410239296128,6.931581937103762,6.474010464668595,6
1538,dergelijk,3.0,5.323099399735069,3.2900007781103224,6.125745990776331,5.6426672022040165,5.714410239296128,6.832468738608579,6.476372193046714,9
1539,vastgesteld,3.0,3.815112658189813,3.703807189914915,6.125745990776331,4.8309199286725795,4.529763904040117,6.669429206024889,6.300551139246551,11
1540,kom,1.0,5.110037232719413,6.413343330284017,5.110037232719413,5.110037232719413,5.66870546220922,6.39335317378869,6.1673288566938345,3
1541,terug,2.0,4.905817459681773,6.122205102606124,5.910038726309899,5.407928092995836,5.068445618354351,6.832468738608579,6.45945562928505,5
1542,heropende,4.0,4.528029216612985,2.1336535772503984,6.234172950952972,5.3703468969984005,5.915397724419865,6.931581937103762,6.49060887170259,9
1543,dierentuin,3.0,3.604118006192035,3.9777163498330497,5.527754887527666,4.871564062375003,5.074359240390398,6.931581937103762,6.4371200613640305,10
1544,amsterdam,3.0,3.415974411376566,3.7569028676482983,4.436417104046368,3.9143081024502266,4.546789351631258,6.832468738608579,6.312960897830082,9
1545,moment,2.0,4.322384708745404,5.401099098734333,4.864760194956592,4.5935724518509975,6.023621967272901,6.931581937103762,6.483119433259517,6
1546,broertje,2.0,4.085183508052778,4.370022865624678,4.6187695770752395,4.3519765425640085,5.020241089108949,6.832468738608579,6.212527104419737,8
1547,hond,1.0,3.93881982502621,5.223323234912328,3.93881982502621,3.93881982502621,6.092397434607738,6.411026607025587,6.319828449135534,4
1548,dorpje,2.0,3.442009159140952,3.705750345200917,6.249430979053402,4.845720069097177,4.353743170753935,6.414569600559002,5.899663274682651,6
